target,alpha,n_rows,nonzero,n_selected,holdout_mae,baseline_mae,r2
PTS,0.010009469553051698,74912,113,50,3.7691417456621075,6.731919479653629,0.6444773488667956
REB,0.007963278286344695,74912,82,50,1.6312909486595244,2.566575114731168,0.5722669331350196
AST,0.006034983256584535,74912,91,50,1.2468830893620007,1.9689887844957896,0.5581852066980907
FG3M,0.005898010457931588,74912,56,50,0.8430133220843942,1.185714395953653,0.39108508764277716
STL,0.004910165358766598,74912,53,50,0.7057522347850081,0.7907031396304889,0.15704897204303514
BLK,0.004771659026231863,74912,42,50,0.5066878092171386,0.6395290691083384,0.24298738764258765
FGM,0.0050667592868203345,74912,115,50,1.4712123586718011,2.4741917493867,0.6013687121416071
FGA,0.005520604385007276,74912,115,50,2.1418618174503417,4.5581215408444,0.7477911268614027
FTM,0.003163190753667094,74912,134,50,1.2863301373170841,1.7383913396720772,0.4039444310912703
FTA,0.005862860127374923,74912,113,50,1.549988459656545,2.066472145768943,0.4174024763866401
